"RiskFactorID";"TCFDSubCatID";"RiskFactorName";"DamageFunctionClass";"df_type"
"1";1;1;"Carbon pricing";"carbonprice_100";"df_carbonprice"
"2";2;1;"Litigation risk";"tx90p_8";"df_tx90p"
"3";3;2;"New technology";"tx90p_7";"df_tx90p"
"4";4;3;"Reputation damage";"tx90p_5";"df_tx90p"
"5";5;4;"Materials cost";"tx90p_10";"df_tx90p"
"6";6;5;"Storm damage";"tx90p_70";"df_tx90p"
"7";7;5;"Employee impacts";"tx90p_6";"df_tx90p"
"8";8;6;"Temperature extremes";"tx90p_100";"df_tx90p"
"9";9;6;"Coastal flooding";"coastalflood_100";"df_coastalflood"
"10";10;7;"Energy Efficiency";"tx90p_16";"df_tx90p"
"11";11;7;"Water Efficiency";"tx90p_18";"df_tx90p"
"12";12;7;"Materials Efficiency";"tx90p_12";"df_tx90p"
"13";13;8;"Renewable price stability";"tx90p_3";"df_tx90p"
"14";14;9;"Energy resilience";"tx90p_15";"df_tx90p"
"15";15;6;"Drought";"pdsisc_100";"df_pdsisc"
"16";16;6;"Wildfire";"zindex_100";"df_zindex"
