Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2030,0.64715,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2040,0.59795,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2050,0.4085,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2060,1.6934,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2070,3.0092,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2080,5.2994,1
Boise,  Transition Risk,Policy and Legal,Increased pricing of GHG emissions ,RCP8.5,2090,8.2891,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2010,0,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2020,0,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2030,1.2943,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2040,1.1959,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2050,0.817,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2060,3.3868,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2070,6.0184,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2080,10.5988,1
Boise,  Transition Risk,Policy and Legal,Exposure to litigation ,RCP8.5,2090,16.5782,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2010,0,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2020,0,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2030,1.2943,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2040,1.1959,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2050,0.817,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2060,3.3868,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2070,6.0184,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2080,10.5988,1
Boise,  Transition Risk,Technology,Costs to transition to lower emissions technology ,RCP8.5,2090,16.5782,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2010,0,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2020,0,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2030,1.2943,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2040,1.1959,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2050,0.817,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2060,3.3868,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2070,6.0184,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2080,10.5988,1
Boise,  Transition Risk,Market,Increased stakeholder concern or negative stakeholder feedback ,RCP8.5,2090,16.5782,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2010,0,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2020,0,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2030,1.2943,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2040,1.1959,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2050,0.817,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2060,3.3868,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2070,6.0184,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2080,10.5988,1
Boise,  Transition Risk,Reputation,Increased cost of raw materials ,RCP8.5,2090,16.5782,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2030,1.2943,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2040,1.1959,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2050,0.817,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2060,3.3868,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2070,6.0184,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2080,10.5988,1
Boise,  Physical Risk,Acute,Increased severity of extreme weather events such as cyclones and floods ,RCP8.5,2090,16.5782,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2030,1.2943,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2040,1.1959,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2050,0.817,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2060,3.3868,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2070,6.0184,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2080,10.5988,1
Boise,  Physical Risk,Acute,Changes in precipitation patterns and extreme variability in weather patterns ,RCP8.5,2090,16.5782,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2010,0,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2020,0,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2030,1.2943,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2040,1.1959,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2050,0.817,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2060,3.3868,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2070,6.0184,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2080,10.5988,1
Boise,  Physical Risk,Chronic,Rising mean temperatures ,RCP8.5,2090,16.5782,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2010,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2020,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2030,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2040,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2050,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2060,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2070,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2080,0,1
Boise,  Physical Risk,Chronic,Rising sea levels ,RCP8.5,2090,0,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0,1
