Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID,LocationID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,2.36448,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,14.9578,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,19.0637,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,19.153,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,27.4445,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,27.4445,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,39.4099,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,55.1875,1
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,65.9846,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,2.41728,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,7.49616,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,31.8151,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,90.251,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,102.367,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,152.954,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,285.407,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,320,1
MU,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,320,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2010,9,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2020,0,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2030,0,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2040,31.5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2050,22.5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2060,40.5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2070,49.5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2080,49.5,1
MU,  Physical Risk,Chronic,Drought ,RCP8.5,2090,40.5,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,1.50521,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,2.11317,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,6.88388,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,12.4111,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,18.0133,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,24.6685,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,27.2509,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,30.3086,1
MU,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,32.2873,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,4.01389,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,5.63512,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,18.357,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,33.0962,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,48.0355,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,65.7828,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,72.669,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,80.8231,1
MU,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,86.0994,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,3.76302,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,5.28295,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,17.2097,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,31.0277,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,45.0333,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,61.6711,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,68.1274,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,75.7714,1
MU,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,80.7182,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,2.00694,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,2.81756,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,9.17852,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,16.5481,1
MU,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,24.0177,1
